"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.959138,0.959138,0.959138,0.959138,0,0.355340554387827,1
"z_int.circ",0.61734,0.61734,0.61734,0.61734,0,-0.125272405346226,0
"z_pop.rural",0.60529,0.60529,0.60529,0.60529,0,-0.120502556512281,0
"z_idosos",0.588242,0.588242,0.588242,0.588242,0,-0.115606160818417,0
"semiarido",0.324446,0.324446,0.324446,0.324446,0,-0.119337764661185,0
"z_leitos1k",0.31643,0.31643,0.31643,0.31643,0,-0.0478059396012205,0
"z_int.resp",0.233402,0.233402,0.233402,0.233402,0,-0.0349414103829584,0
"z_prof1k",0.141372,0.141372,0.141372,0.141372,0,-0.0141221826159274,0.00468268
"z_pibpc",0.139358,0.139358,0.139358,0.139358,0,-0.0171888671557229,0.02174256
"z_ivs.renda",0.132302,0.132302,0.132302,0.132302,0,-0.0158089245266721,0
"z_ideb5",0.124904,0.124904,0.124904,0.124904,0,0.0109807378332407,1
"z_sus1k",0.113286,0.113286,0.113286,0.113286,0,-0.00910227609435,0.00194199
"z_ivs.capital",0.112054,0.112054,0.112054,0.112054,0,0.011312334639852,0.99544862
"z_ivs.infra",0.102468,0.102468,0.102468,0.102468,0,0.00783117427824651,0.9908264
"z_desp.educ",0.102288,0.102288,0.102288,0.102288,0,-0.00717085097537339,0.00076255
"z_pop",0.098888,0.098888,0.098888,0.098888,0,0.00818555499695827,0.99900898
"z_int.asma",0.097742,0.097742,0.097742,0.097742,0,0.0069223094725807,0.95369442
"z_tax.agua",0.095146,0.095146,0.095146,0.095146,0,-0.00601791929178665,4.204e-05
"z_energia100k",0.090572,0.090572,0.090572,0.090572,0,-0.00701305152626624,0.00876651
"z_eleitas.fem",0.084596,0.084596,0.084596,0.084596,0,-0.00436282086960618,0.01300298
"z_ex.pobr",0.081318,0.081318,0.081318,0.081318,0,-0.00534703142577656,0.09764136
"z_emprego",0.08035,0.08035,0.08035,0.08035,0,-0.00590985500976034,0.02957063
"z_bolsaf",0.079058,0.079058,0.079058,0.079058,0,-0.00469302767734819,0.0107769
"z_densidade",0.079054,0.079054,0.079054,0.079054,0,0.00295906449274335,0.87871581
"metrop",0.076994,0.076994,0.076994,0.076994,0,0.0157584924046558,0.95786685
"z_votos",0.07326,0.07326,0.07326,0.07326,0,-0.00314692224758898,0.0002457
"z_ideb9",0.072634,0.072634,0.072634,0.072634,0,-0.000235398413547263,0.71123716
"z_int.diab",0.072118,0.072118,0.072118,0.072118,0,-0.00284492685117324,0.21093208
"aliadogov",0.070012,0.070012,0.070012,0.070012,0,0.00589776355916383,1
"z_idhm",0.068358,0.068358,0.068358,0.068358,0,0.00405839783138205,0.81035139
"z_desp.saude",0.066716,0.066716,0.066716,0.066716,0,-0.000185304717408579,0.45560285
"z_imuni",0.064256,0.064256,0.064256,0.064256,0,-0.00166324429305493,0.0029258
"z_area",0.063274,0.063274,0.063274,0.063274,0,0.00176767000176028,0.92221133
"z_ideb3",0.05816,0.05816,0.05816,0.05816,0,-0.000745999066409412,0.23964924
"z_tax.hom",0.056108,0.056108,0.056108,0.056108,0,0.000472980147246829,0.67031439
