"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.997156,0.997156,0.997156,0.997156,0,0.448301782561313,1
"z_leitos1k",0.985222,0.985222,0.985222,0.985222,0,-0.260219204609831,0
"metrop",0.968674,0.968674,0.968674,0.968674,0,-0.872109499404632,0
"z_int.circ",0.723914,0.723914,0.723914,0.723914,0,-0.129803327223559,0
"z_ivs.renda",0.710082,0.710082,0.710082,0.710082,0,-0.14192506165049,0
"z_idosos",0.62587,0.62587,0.62587,0.62587,0,-0.0842985542615289,0
"z_bolsaf",0.592826,0.592826,0.592826,0.592826,0,-0.0930538759078954,1.349e-05
"z_int.asma",0.53383,0.53383,0.53383,0.53383,0,0.0658721532255278,0.99988011
"z_tax.hom",0.525506,0.525506,0.525506,0.525506,0,0.0541952925775204,0.99998478
"semiarido",0.495926,0.495926,0.495926,0.495926,0,-0.116028805645666,0
"z_ideb5",0.478416,0.478416,0.478416,0.478416,0,0.0442806344018375,0.99855356
"z_tax.agua",0.474192,0.474192,0.474192,0.474192,0,-0.0411204031768065,0
"z_pibpc",0.471466,0.471466,0.471466,0.471466,0,-0.0613092011203572,0.00142958
"z_sus1k",0.465928,0.465928,0.465928,0.465928,0,0.04897543691961,0.99972957
"z_ideb9",0.465112,0.465112,0.465112,0.465112,0,0.0391523874629605,0.99725227
"z_ex.pobr",0.45593,0.45593,0.45593,0.45593,0,0.0799079009732979,0.96656066
"z_ideb3",0.406696,0.406696,0.406696,0.406696,0,-0.0298767719693339,0.00100812
"z_ivs.infra",0.405868,0.405868,0.405868,0.405868,0,0.0300436656067633,0.9984527
"z_emprego",0.382952,0.382952,0.382952,0.382952,0,-0.038408360975655,0.00172345
"z_int.diab",0.379198,0.379198,0.379198,0.379198,0,-0.0295511033515679,0.01824904
"z_prof1k",0.37026,0.37026,0.37026,0.37026,0,0.0275875972134165,0.98684708
"z_pop.rural",0.355824,0.355824,0.355824,0.355824,0,-0.0260561899271866,0.00879648
"z_imuni",0.349644,0.349644,0.349644,0.349644,0,0.0157959837152279,0.9999142
"z_eleitas.fem",0.34079,0.34079,0.34079,0.34079,0,0.016357013775619,0.9917075
"z_int.resp",0.3234,0.3234,0.3234,0.3234,0,0.0135601606796377,0.91154607
"z_desp.educ",0.315496,0.315496,0.315496,0.315496,0,-0.010405038974087,0.04975023
"z_desp.saude",0.30211,0.30211,0.30211,0.30211,0,0.00445176911124278,0.66250703
"z_ivs.capital",0.301846,0.301846,0.301846,0.301846,0,0.003624348897479,0.69014001
"z_idhm",0.301594,0.301594,0.301594,0.301594,0,0.0115747615577742,0.80294701
"z_votos",0.30026,0.30026,0.30026,0.30026,0,0.00778549727352702,0.98193566
"z_pop",0.29896,0.29896,0.29896,0.29896,0,0.00810578892127279,0.53059272
"z_energia100k",0.294356,0.294356,0.294356,0.294356,0,0.00638715985830218,0.79299216
"aliadogov",0.293806,0.293806,0.293806,0.293806,0,-0.0122083500636706,0.0131175
"z_densidade",0.289296,0.289296,0.289296,0.289296,0,-0.00738654010799038,0.38426387
"z_area",0.284616,0.284616,0.284616,0.284616,0,0.000973970831719946,0.60484302
